Chromosome,Arm,Band,Abnormality,MorphName,Morph,TopoName,Topo,CaseCount,Gene,Type
1,p,10,der,Multiple myeloma,1702,,,3,,U
1,q,10,der,"Acute myeloid leukemia, NOS",1101,,,7,,U
1,q,10,der,Acute lymphoblastic leukemia/lymphoblastic lymphoma,1602,,,2,,U
1,q,10,der,Multiple myeloma,1702,,,53,,U
1,q,10,der,Plasma cell leukemia,1708,,,4,,U
1,q,10,der,"Carcinoma, NOS",3102,Breast,401.0,4,,U
1,q,10,der,Adenocarcinoma,3111,Breast,401.0,54,,U
1,q,10,der,Adenocarcinoma,3111,"Uterus, corpus",505.0,3,,U
1,q,10,der,"Liposarcoma, myxoid/round cell",8034,Soft tissue,902.0,2,,U
1,q,10,der,"Liposarcoma, NOS",8040,Soft tissue,902.0,2,,U
1,q,10,der,Multiple myeloma,1702,,,9,,U
1,q,10,der,Adenocarcinoma,3111,Breast,401.0,3,,U
1,q,10,der,Multiple myeloma,1702,,,5,,U
1,q,10,der,Plasma cell leukemia,1708,,,2,,U
1,q,10,der,"Mature B-cell neoplasm, NOS",1801,,,2,,U
1,q,10,der,Multiple myeloma,1702,,,2,,U
1,p,10,der,"Acute myeloid leukemia, NOS",1101,,,2,,U
1,q,10,der,"Acute myeloid leukemia, NOS",1101,,,3,,U
1,q,10,der,Multiple myeloma,1702,,,22,,U
1,q,10,der,Mastocytosis,2430,,,2,,U
1,q,10,der,Oligodendroglioma,5107,Brain,801.0,5,,U
1,q,10,der,"Myelodysplastic syndrome, NOS",1501,,,2,,U
1,q,10,der,Multiple myeloma,1702,,,3,,U
1,q,10,der,"Acute myeloid leukemia, NOS",1101,,,2,,U
1,q,10,der,Acute monoblastic leukemia (FAB type M5),1108,,,2,,U
1,q,10,der,Multiple myeloma,1702,,,9,,U
1,q,10,der,Adenocarcinoma,3111,Breast,401.0,4,,U
1,q,10,der,"Acute myeloid leukemia, NOS",1101,,,4,,U
1,q,10,der,Multiple myeloma,1702,,,7,,U
1,q,10,der,Adenocarcinoma,3111,Breast,401.0,2,,U
1,p,10,i,Diffuse large B-cell lymphoma,1820,,,2,,U
1,p,10,i,Adenocarcinoma,3111,Lung,107.0,2,,U
1,p,10,i,Adenocarcinoma,3111,Breast,401.0,3,,U
1,p,10,i,Adenocarcinoma,3111,Ovary,501.0,2,,U
1,p,10,i,Squamous cell carcinoma,3121,Skin,1101.0,2,,U
1,p,10,i,Undifferentiated pleomorphic sarcoma,8541,Skeleton,901.0,2,,U
1,p,10,i,Undifferentiated pleomorphic sarcoma,8541,Soft tissue,902.0,3,,U
1,p,10,i,"Osteosarcoma, NOS",8710,Skeleton,901.0,2,,U
1,q,10,i,"Acute myeloid leukemia, NOS",1101,,,8,,U
1,q,10,i,Acute myeloblastic leukemia with maturation (FAB type M2),1104,,,3,,U
1,q,10,i,Acute monoblastic leukemia (FAB type M5),1108,,,8,,U
1,q,10,i,Acute monoblastic leukemia without differentiation (FAB type M5a),1109,,,2,,U
1,q,10,i,Acute monoblastic leukemia with differentiation (FAB type M5b),1110,,,3,,U
1,q,10,i,Acute megakaryoblastic leukemia (FAB type M7),1113,,,3,,U
1,q,10,i,"Myelodysplastic syndrome, NOS",1501,,,3,,U
1,q,10,i,Refractory anemia with excess of blasts (FAB),1509,,,2,,U
1,q,10,i,Refractory cytopenia with multilineage dysplasia,1515,,,2,,U
1,q,10,i,Acute lymphoblastic leukemia/lymphoblastic lymphoma,1602,,,28,,U
1,q,10,i,Multiple myeloma,1702,,,59,,U
1,q,10,i,Plasma cell leukemia,1708,,,2,,U
1,q,10,i,"Mature B-cell neoplasm, NOS",1801,,,14,,U
1,q,10,i,Chronic lymphocytic leukemia,1802,,,6,,U
1,q,10,i,Follicular lymphoma,1810,,,19,,U
1,q,10,i,Diffuse large B-cell lymphoma,1820,,,34,,U
1,q,10,i,Burkitt lymphoma/leukemia,1822,,,20,,U
1,q,10,i,"Mature T- and NK-cell neoplasm, NOS",1901,,,3,,U
1,q,10,i,"Peripheral T-cell lymphoma, unspecified",1908,,,3,,U
1,q,10,i,Extranodal NK/T-cell lymphoma,1912,,,2,,U
1,q,10,i,"Anaplastic large cell lymphoma, systemic type",1922,,,9,,U
1,q,10,i,"Hodgkin disease, lymphocyte predominance",2002,,,11,,U
1,q,10,i,"Hodgkin disease, mixed cellularity",2003,,,5,,U
1,q,10,i,"Hodgkin disease, nodular sclerosis",2005,,,4,,U
1,q,10,i,Adenoma,3003,Pituitary,702.0,4,,U
1,q,10,i,"Phyllodes tumor, benign",3055,Breast,401.0,4,,U
1,q,10,i,"Carcinoma, NOS",3102,Large intestine,227.0,2,,U
1,q,10,i,"Carcinoma, NOS",3102,Breast,401.0,7,,U
1,q,10,i,"Carcinoma, NOS",3102,"Uterus, cervix",507.0,6,,U
1,q,10,i,"Undifferentiated carcinoma, large cell",3104,Lung,107.0,3,,U
1,q,10,i,"Undifferentiated carcinoma, small cell",3105,Lung,107.0,2,,U
1,q,10,i,Adenocarcinoma,3111,Lung,107.0,12,,U
1,q,10,i,Adenocarcinoma,3111,Stomach,216.0,2,,U
1,q,10,i,Adenocarcinoma,3111,Pancreas,218.0,12,,U
1,q,10,i,Adenocarcinoma,3111,Large intestine,227.0,13,,U
1,q,10,i,Adenocarcinoma,3111,Kidney,301.0,25,,U
1,q,10,i,Adenocarcinoma,3111,Breast,401.0,58,,U
1,q,10,i,Adenocarcinoma,3111,Ovary,501.0,14,,U
1,q,10,i,Adenocarcinoma,3111,"Uterus, corpus",505.0,14,,U
1,q,10,i,Adenocarcinoma,3111,"Uterus, cervix",507.0,2,,U
1,q,10,i,Squamous cell carcinoma,3121,Larynx,105.0,2,,U
1,q,10,i,Squamous cell carcinoma,3121,Oral cavity,203.0,3,,U
1,q,10,i,Squamous cell carcinoma,3121,Tongue,208.0,4,,U
1,q,10,i,Squamous cell carcinoma,3121,Oro- and hypopharynx,212.0,4,,U
1,q,10,i,Squamous cell carcinoma,3121,"Uterus, cervix",507.0,7,,U
1,q,10,i,Squamous cell carcinoma,3121,Skin,1101.0,2,,U
1,q,10,i,Merkel cell carcinoma,3125,Skin,1101.0,2,,U
1,q,10,i,Transitional cell carcinoma,3131,Bladder,305.0,3,,U
1,q,10,i,Wilms tumor,3135,Kidney,301.0,30,,U
1,q,10,i,Hepatoblastoma,3141,Liver,220.0,6,,U
1,q,10,i,"Malignant epithelial tumor, special type",3199,Salivary gland,210.0,2,,U
1,q,10,i,Seminoma/Dysgerminoma,3902,Testis,601.0,2,,U
1,q,10,i,Teratoma (mature and immature),3903,Oral cavity,203.0,2,,U
1,q,10,i,Teratoma (mature and immature),3903,Testis,601.0,2,,U
1,q,10,i,Combined germ cell tumors,3905,Testis,601.0,3,,U
1,q,10,i,"Astrocytoma, grade III-IV/Glioblastoma",5104,Brain,801.0,5,,U
1,q,10,i,Ependymoma,5109,Brain,801.0,3,,U
1,q,10,i,"Neuroglial neoplasm, special type",5199,Brain,801.0,2,,U
1,q,10,i,Retinoblastoma,5211,Eye,810.0,5,,U
1,q,10,i,Neuroblastoma,5213,Adrenal,703.0,3,,U
1,q,10,i,Peripheral neuroepithelioma,5230,Soft tissue,902.0,2,,U
1,q,10,i,Malignant melanoma,6011,Eye,810.0,4,,U
1,q,10,i,Malignant melanoma,6011,Skin,1101.0,9,,U
1,q,10,i,Malignant melanoma,6011,Unknown site,1410.0,2,,U
1,q,10,i,Alveolar rhabdomyosarcoma,8322,Soft tissue,902.0,3,,U
1,q,10,i,Malignant peripheral nerve sheath tumor/Triton,8516,Soft tissue,902.0,2,,U
1,q,10,i,Synovial sarcoma,8522,Soft tissue,902.0,2,,U
1,q,10,i,Clear cell sarcoma,8531,Soft tissue,902.0,4,,U
1,q,10,i,"Chondrosarcoma, NOS",8622,Skeleton,901.0,2,,U
1,q,10,i,"Osteosarcoma, NOS",8710,Skeleton,901.0,4,,U
1,q,10,i,Ewing sarcoma,8740,Kidney,301.0,2,,U
1,q,10,i,Ewing sarcoma,8740,Skeleton,901.0,8,,U
1,q,10,i,Ewing sarcoma,8740,Soft tissue,902.0,4,,U
1,q,10,i,Chordoma,8743,Skeleton,901.0,6,,U
1,q,10,i,Meningioma,8804,Brain,801.0,4,,U
1,q,10,i,Endometrial stromal sarcoma,8813,"Uterus, corpus",505.0,6,,U
1,p,10,ider,Acute lymphoblastic leukemia/lymphoblastic lymphoma,1602,,,2,,U
1,q,10,ider,Multiple myeloma,1702,,,2,,U
2,p,10,der,Multiple myeloma,1702,,,2,,U
2,q,10,der,Meningioma,8804,Brain,801.0,2,,U
2,p,10,der,Chronic lymphocytic leukemia,1802,,,2,,U
2,p,10,i,Chronic lymphocytic leukemia,1802,,,6,,U
2,p,10,i,"Hodgkin disease, nodular sclerosis",2005,,,3,,U
2,p,10,i,Adenocarcinoma,3111,Kidney,301.0,2,,U
2,p,10,i,Adenocarcinoma,3111,Breast,401.0,2,,U
2,p,10,i,Squamous cell carcinoma,3121,Lung,107.0,4,,U
2,q,10,i,"Acute myeloid leukemia, NOS",1101,,,3,,U
2,q,10,i,Multiple myeloma,1702,,,2,,U
2,q,10,i,Chronic lymphocytic leukemia,1802,,,3,,U
2,q,10,i,Follicular lymphoma,1810,,,2,,U
2,q,10,i,Oncocytoma,3031,Kidney,301.0,2,,U
2,q,10,i,Adenocarcinoma,3111,Stomach,216.0,3,,U
2,q,10,i,Adenocarcinoma,3111,Large intestine,227.0,2,,U
2,q,10,i,Adenocarcinoma,3111,Breast,401.0,2,,U
2,q,10,i,Adenocarcinoma,3111,Ovary,501.0,2,,U
2,q,10,i,Squamous cell carcinoma,3121,Tongue,208.0,2,,U
2,q,10,i,Squamous cell carcinoma,3121,"Uterus, cervix",507.0,2,,U
2,q,10,i,Seminoma/Dysgerminoma,3902,Testis,601.0,2,,U
2,q,10,ider,"Anaplastic large cell lymphoma, systemic type",1922,,,3,,U
3,q,10,add,"Acute myeloid leukemia, NOS",1101,,,2,,U
3,q,10,der,Multiple myeloma,1702,,,2,,U
3,q,10,der,Adenocarcinoma,3111,Breast,401.0,2,,U
3,q,10,der,Squamous cell carcinoma,3121,Oral cavity,203.0,2,,U
3,q,10,der,"Acute myeloid leukemia, NOS",1101,,,2,,U
3,q,10,der,Multiple myeloma,1702,,,2,,U
3,q,10,der,Adenocarcinoma,3111,Kidney,301.0,4,,U
3,q,10,der,Squamous cell carcinoma,3121,Larynx,105.0,2,,U
3,q,10,der,Multiple myeloma,1702,,,7,,U
3,q,10,der,Adenocarcinoma,3111,Kidney,301.0,2,,U
3,q,10,der,"Acute myeloid leukemia, NOS",1101,,,5,,U
3,q,10,der,Squamous cell carcinoma,3121,Oral cavity,203.0,2,,U
3,q,10,der,Multiple myeloma,1702,,,2,,U
3,q,10,der,Chronic lymphocytic leukemia,1802,,,2,,U
3,q,10,der,Squamous cell carcinoma,3121,Oral cavity,203.0,2,,U
3,q,10,der,Multiple myeloma,1702,,,2,,U
3,q,10,der,"Acute myeloid leukemia, NOS",1101,,,2,,U
3,p,10,i,"Acute myeloid leukemia, NOS",1101,,,2,,U
3,p,10,i,Multiple myeloma,1702,,,3,,U
3,p,10,i,"Mature B-cell neoplasm, NOS",1801,,,2,,U
3,p,10,i,Follicular lymphoma,1810,,,7,,U
3,p,10,i,Diffuse large B-cell lymphoma,1820,,,2,,U
3,p,10,i,Squamous cell carcinoma,3121,Lung,107.0,2,,U
3,p,10,i,Squamous cell carcinoma,3121,Oral cavity,203.0,2,,U
3,p,10,i,Mesothelioma,8810,Pleura,109.0,2,,U
3,q,10,i,"Acute myeloid leukemia, NOS",1101,,,2,,U
3,q,10,i,Acute erythroleukemia (FAB type M6),1112,,,2,,U
3,q,10,i,"Myelodysplastic syndrome, NOS",1501,,,2,,U
3,q,10,i,Multiple myeloma,1702,,,3,,U
3,q,10,i,"Mature B-cell neoplasm, NOS",1801,,,4,,U
3,q,10,i,Chronic lymphocytic leukemia,1802,,,3,,U
3,q,10,i,Mantle cell lymphoma,1808,,,3,,U
3,q,10,i,Follicular lymphoma,1810,,,3,,U
3,q,10,i,Diffuse large B-cell lymphoma,1820,,,5,,U
3,q,10,i,Angioimmunoblastic T-cell lymphoma,1910,,,2,,U
3,q,10,i,"Undifferentiated carcinoma, large cell",3104,Lung,107.0,2,,U
3,q,10,i,"Undifferentiated carcinoma, small cell",3105,Lung,107.0,4,,U
3,q,10,i,Adenocarcinoma,3111,Lung,107.0,3,,U
3,q,10,i,Adenocarcinoma,3111,Oesophagus,214.0,2,,U
3,q,10,i,Adenocarcinoma,3111,Pancreas,218.0,4,,U
3,q,10,i,Adenocarcinoma,3111,Breast,401.0,2,,U
3,q,10,i,Adenocarcinoma,3111,Ovary,501.0,3,,U
3,q,10,i,Adenosquamous carcinoma,3119,Lung,107.0,3,,U
3,q,10,i,Squamous cell carcinoma,3121,Larynx,105.0,6,,U
3,q,10,i,Squamous cell carcinoma,3121,Lung,107.0,8,,U
3,q,10,i,Squamous cell carcinoma,3121,Oral cavity,203.0,12,,U
3,q,10,i,Squamous cell carcinoma,3121,Tongue,208.0,10,,U
3,q,10,i,Squamous cell carcinoma,3121,Oro- and hypopharynx,212.0,4,,U
3,q,10,i,Squamous cell carcinoma,3121,Oesophagus,214.0,2,,U
3,q,10,i,Squamous cell carcinoma,3121,Vagina,509.0,5,,U
3,q,10,i,Undifferentiated pleomorphic sarcoma,8541,Soft tissue,902.0,2,,U
3,q,10,i,"Osteosarcoma, NOS",8710,Skeleton,901.0,2,,U
3,q,10,i,Nonneoplastic hematologic disorder/lesion,9029,,,16,,U
4,q,10,der,Multiple myeloma,1702,,,2,,U
4,q,10,der,Squamous cell carcinoma,3121,Oral cavity,203.0,2,,U
4,p,10,der,Acute lymphoblastic leukemia/lymphoblastic lymphoma,1602,,,2,,U
4,q,10,der,"Acute myeloid leukemia, NOS",1101,,,2,,U
4,q,10,der,Adenocarcinoma,3111,Breast,401.0,3,,U
4,p,10,i,Acute myelomonocytic leukemia (FAB type M4),1107,,,3,,U
4,p,10,i,"Hodgkin disease, nodular sclerosis",2005,,,2,,U
4,q,10,i,Chronic lymphocytic leukemia,1802,,,3,,U
4,q,10,i,Adenocarcinoma,3111,Large intestine,227.0,3,,U
4,q,10,i,Squamous cell carcinoma,3121,Oro- and hypopharynx,212.0,2,,U
4,q,10,i,Seminoma/Dysgerminoma,3902,Testis,601.0,2,,U
5,p,10,der,"Acute myeloid leukemia, NOS",1101,,,2,,U
5,p,10,der,Multiple myeloma,1702,,,3,,U
5,q,10,der,"Acute myeloid leukemia, NOS",1101,,,2,,U
5,q,10,der,Multiple myeloma,1702,,,3,,U
5,p,10,der,"Acute myeloid leukemia, NOS",1101,,,2,,U
5,p,10,der,"Acute myeloid leukemia, NOS",1101,,,3,,U
5,p,10,der,"Acute myeloid leukemia, NOS",1101,,,2,,U
5,p,10,der,"Acute myeloid leukemia, NOS",1101,,,2,,U
5,p,10,der,"Acute myeloid leukemia, NOS",1101,,,40,,U
5,p,10,der,Acute erythroleukemia (FAB type M6),1112,,,2,,U
5,p,10,der,Acute megakaryoblastic leukemia (FAB type M7),1113,,,2,,U
5,p,10,der,"Chronic myeloid leukemia, t(9;22)",1202,,,2,,U
5,p,10,der,"Myelodysplastic syndrome, NOS",1501,,,8,,U
5,p,10,der,Refractory anemia,1505,,,2,,U
5,p,10,der,Refractory anemia with excess of blasts (FAB),1509,,,4,,U
5,p,10,der,Refractory cytopenia with multilineage dysplasia,1515,,,12,,U
5,p,10,der,Refractory anemia with excess blasts-1,1519,,,8,,U
5,p,10,der,Refractory anemia with excess blasts-2,1521,,,9,,U
5,q,10,der,"Acute myeloid leukemia, NOS",1101,,,2,,U
5,p,10,der,"Acute myeloid leukemia, NOS",1101,,,4,,U
5,p,10,der,"Acute myeloid leukemia, NOS",1101,,,3,,U
5,p,10,i,"Acute myeloid leukemia, NOS",1101,,,12,,U
5,p,10,i,Acute myeloblastic leukemia without maturation (FAB type M1),1103,,,2,,U
5,p,10,i,Acute myeloblastic leukemia with maturation (FAB type M2),1104,,,3,,U
5,p,10,i,Acute myelomonocytic leukemia (FAB type M4),1107,,,2,,U
5,p,10,i,Acute monoblastic leukemia (FAB type M5),1108,,,3,,U
5,p,10,i,Acute monoblastic leukemia without differentiation (FAB type M5a),1109,,,4,,U
5,p,10,i,"Myelodysplastic syndrome, NOS",1501,,,5,,U
5,p,10,i,Refractory cytopenia with multilineage dysplasia,1515,,,2,,U
5,p,10,i,Follicular lymphoma,1810,,,2,,U
5,p,10,i,"Peripheral T-cell lymphoma, unspecified",1908,,,2,,U
5,p,10,i,Adenoma,3003,Large intestine,227.0,2,,U
5,p,10,i,"Carcinoma, NOS",3102,"Uterus, cervix",507.0,2,,U
5,p,10,i,"Undifferentiated carcinoma, large cell",3104,Lung,107.0,4,,U
5,p,10,i,Adenocarcinoma,3111,Lung,107.0,14,,U
5,p,10,i,Adenocarcinoma,3111,Oesophagus,214.0,2,,U
5,p,10,i,Adenocarcinoma,3111,Stomach,216.0,5,,U
5,p,10,i,Adenocarcinoma,3111,Pancreas,218.0,5,,U
5,p,10,i,Adenocarcinoma,3111,Gallbladder/Biliary system,222.0,2,,U
5,p,10,i,Adenocarcinoma,3111,Large intestine,227.0,13,,U
5,p,10,i,Adenocarcinoma,3111,Kidney,301.0,7,,U
5,p,10,i,Adenocarcinoma,3111,Breast,401.0,4,,U
5,p,10,i,Adenocarcinoma,3111,Ovary,501.0,16,,U
5,p,10,i,Squamous cell carcinoma,3121,Larynx,105.0,2,,U
5,p,10,i,Squamous cell carcinoma,3121,Lung,107.0,8,,U
5,p,10,i,Squamous cell carcinoma,3121,Oral cavity,203.0,15,,U
5,p,10,i,Squamous cell carcinoma,3121,Tongue,208.0,7,,U
5,p,10,i,Squamous cell carcinoma,3121,Oro- and hypopharynx,212.0,5,,U
5,p,10,i,Squamous cell carcinoma,3121,Anus,230.0,2,,U
5,p,10,i,Squamous cell carcinoma,3121,Vagina,509.0,6,,U
5,p,10,i,Transitional cell carcinoma,3131,Bladder,305.0,11,,U
5,p,10,i,Malignant melanoma,6011,Unknown site,1410.0,4,,U
5,p,10,i,Mesothelioma,8810,Pleura,109.0,4,,U
5,q,10,i,Diffuse large B-cell lymphoma,1820,,,2,,U
5,q,10,i,Adenocarcinoma,3111,Breast,401.0,2,,U
5,q,10,i,Squamous cell carcinoma,3121,Nasopharynx,103.0,2,,U
5,q,10,i,Squamous cell carcinoma,3121,Tongue,208.0,3,,U
5,q,10,i,Squamous cell carcinoma,3121,Oro- and hypopharynx,212.0,3,,U
5,q,10,i,Malignant peripheral nerve sheath tumor/Triton,8516,Soft tissue,902.0,2,,U
6,p,10,der,Multiple myeloma,1702,,,3,,U
6,p,10,der,Adenocarcinoma,3111,Breast,401.0,2,,U
6,p,10,der,Adenocarcinoma,3111,Ovary,501.0,2,,U
6,p,10,der,Acute lymphoblastic leukemia/lymphoblastic lymphoma,1602,,,2,,U
6,p,10,der,Multiple myeloma,1702,,,7,,U
6,p,10,der,Multiple myeloma,1702,,,2,,U
6,p,10,der,Adenocarcinoma,3111,Kidney,301.0,4,,U
6,p,10,der,Multiple myeloma,1702,,,5,,U
6,p,10,der,"Acute myeloid leukemia, NOS",1101,,,2,,U
6,p,10,der,Adenocarcinoma,3111,Lung,107.0,2,,U
6,p,10,der,Multiple myeloma,1702,,,2,,U
6,p,10,i,"Acute myeloid leukemia, NOS",1101,,,3,,U
6,p,10,i,Acute myeloblastic leukemia without maturation (FAB type M1),1103,,,2,,U
6,p,10,i,Acute myeloblastic leukemia with maturation (FAB type M2),1104,,,2,,U
6,p,10,i,Refractory anemia,1505,,,2,,U
6,p,10,i,Acute lymphoblastic leukemia/lymphoblastic lymphoma,1602,,,20,,U
6,p,10,i,Multiple myeloma,1702,,,11,,U
6,p,10,i,Waldenström macroglobulinemia,1710,,,3,,U
6,p,10,i,"Mature B-cell neoplasm, NOS",1801,,,12,,U
6,p,10,i,Chronic lymphocytic leukemia,1802,,,4,,U
6,p,10,i,Mantle cell lymphoma,1808,,,6,,U
6,p,10,i,Follicular lymphoma,1810,,,87,,U
6,p,10,i,Diffuse large B-cell lymphoma,1820,,,59,,U
6,p,10,i,Burkitt lymphoma/leukemia,1822,,,6,,U
6,p,10,i,Extranodal NK/T-cell lymphoma,1912,,,2,,U
6,p,10,i,Adult T-cell lymphoma/leukemia (HTLV-1+),1926,,,3,,U
6,p,10,i,"Hodgkin disease, nodular sclerosis",2005,,,4,,U
6,p,10,i,"Undifferentiated carcinoma, large cell",3104,Lung,107.0,4,,U
6,p,10,i,Adenocarcinoma,3111,Lung,107.0,4,,U
6,p,10,i,Adenocarcinoma,3111,Pancreas,218.0,2,,U
6,p,10,i,Adenocarcinoma,3111,Liver,220.0,2,,U
6,p,10,i,Adenocarcinoma,3111,Large intestine,227.0,6,,U
6,p,10,i,Adenocarcinoma,3111,Kidney,301.0,2,,U
6,p,10,i,Adenocarcinoma,3111,Breast,401.0,9,,U
6,p,10,i,Adenocarcinoma,3111,Ovary,501.0,8,,U
6,p,10,i,Adenocarcinoma,3111,"Uterus, corpus",505.0,2,,U
6,p,10,i,Squamous cell carcinoma,3121,Lung,107.0,7,,U
6,p,10,i,Squamous cell carcinoma,3121,Oral cavity,203.0,2,,U
6,p,10,i,Squamous cell carcinoma,3121,Tongue,208.0,2,,U
6,p,10,i,Transitional cell carcinoma,3131,Bladder,305.0,2,,U
6,p,10,i,Hepatoblastoma,3141,Liver,220.0,2,,U
6,p,10,i,Seminoma/Dysgerminoma,3902,Testis,601.0,2,,U
6,p,10,i,Teratoma (mature and immature),3903,Testis,601.0,5,,U
6,p,10,i,"Astrocytoma, grade III-IV/Glioblastoma",5104,Brain,801.0,3,,U
6,p,10,i,Ependymoma,5109,Brain,801.0,2,,U
6,p,10,i,Retinoblastoma,5211,Eye,810.0,46,,U
6,p,10,i,Neuroblastoma,5213,Adrenal,703.0,2,,U
6,p,10,i,Malignant melanoma,6011,Eye,810.0,10,,U
6,p,10,i,Malignant melanoma,6011,Skin,1101.0,4,,U
6,p,10,i,Malignant melanoma,6011,Unknown site,1410.0,5,,U
6,p,10,i,Lipoma,8004,Soft tissue,902.0,2,,U
6,p,10,i,Malignant peripheral nerve sheath tumor/Triton,8516,Soft tissue,902.0,2,,U
6,p,10,i,"Chondrosarcoma, NOS",8622,Skeleton,901.0,2,,U
